"Start time UTC","End time UTC","Solar power generation forecast - updated every 15 minutes"
"2023-11-30T22:00:00.000Z","2023-11-30T22:15:00.000Z","0"
"2023-11-30T22:15:00.000Z","2023-11-30T22:30:00.000Z","0"
"2023-11-30T22:30:00.000Z","2023-11-30T22:45:00.000Z","0"
"2023-11-30T22:45:00.000Z","2023-11-30T23:00:00.000Z","0"
"2023-11-30T23:00:00.000Z","2023-11-30T23:15:00.000Z","0"
"2023-11-30T23:15:00.000Z","2023-11-30T23:30:00.000Z","0"
"2023-11-30T23:30:00.000Z","2023-11-30T23:45:00.000Z","0"
"2023-11-30T23:45:00.000Z","2023-12-01T00:00:00.000Z","0"
"2023-12-01T00:00:00.000Z","2023-12-01T00:15:00.000Z","0"
"2023-12-01T00:15:00.000Z","2023-12-01T00:30:00.000Z","0"
"2023-12-01T00:30:00.000Z","2023-12-01T00:45:00.000Z","0"
"2023-12-01T00:45:00.000Z","2023-12-01T01:00:00.000Z","0"
"2023-12-01T01:00:00.000Z","2023-12-01T01:15:00.000Z","0"
"2023-12-01T01:15:00.000Z","2023-12-01T01:30:00.000Z","0"
"2023-12-01T01:30:00.000Z","2023-12-01T01:45:00.000Z","0"
"2023-12-01T01:45:00.000Z","2023-12-01T02:00:00.000Z","0"
"2023-12-01T02:00:00.000Z","2023-12-01T02:15:00.000Z","0"
"2023-12-01T02:15:00.000Z","2023-12-01T02:30:00.000Z","0"
"2023-12-01T02:30:00.000Z","2023-12-01T02:45:00.000Z","0"
"2023-12-01T02:45:00.000Z","2023-12-01T03:00:00.000Z","0"
"2023-12-01T03:00:00.000Z","2023-12-01T03:15:00.000Z","0"
"2023-12-01T03:15:00.000Z","2023-12-01T03:30:00.000Z","0"
"2023-12-01T03:30:00.000Z","2023-12-01T03:45:00.000Z","0"
"2023-12-01T03:45:00.000Z","2023-12-01T04:00:00.000Z","0"
"2023-12-01T04:00:00.000Z","2023-12-01T04:15:00.000Z","0"
"2023-12-01T04:15:00.000Z","2023-12-01T04:30:00.000Z","0"
"2023-12-01T04:30:00.000Z","2023-12-01T04:45:00.000Z","0"
"2023-12-01T04:45:00.000Z","2023-12-01T05:00:00.000Z","0"
"2023-12-01T05:00:00.000Z","2023-12-01T05:15:00.000Z","0"
"2023-12-01T05:15:00.000Z","2023-12-01T05:30:00.000Z","0"
"2023-12-01T05:30:00.000Z","2023-12-01T05:45:00.000Z","0"
"2023-12-01T05:45:00.000Z","2023-12-01T06:00:00.000Z","0"
"2023-12-01T06:00:00.000Z","2023-12-01T06:15:00.000Z","0"
"2023-12-01T06:15:00.000Z","2023-12-01T06:30:00.000Z","0"
"2023-12-01T06:30:00.000Z","2023-12-01T06:45:00.000Z","0"
"2023-12-01T06:45:00.000Z","2023-12-01T07:00:00.000Z","0.2"
"2023-12-01T07:00:00.000Z","2023-12-01T07:15:00.000Z","0"
"2023-12-01T07:15:00.000Z","2023-12-01T07:30:00.000Z","0"
"2023-12-01T07:30:00.000Z","2023-12-01T07:45:00.000Z","0"
"2023-12-01T07:45:00.000Z","2023-12-01T08:00:00.000Z","0.3"
"2023-12-01T08:00:00.000Z","2023-12-01T08:15:00.000Z","3.5"
"2023-12-01T08:15:00.000Z","2023-12-01T08:30:00.000Z","13.4"
"2023-12-01T08:30:00.000Z","2023-12-01T08:45:00.000Z","14"
"2023-12-01T08:45:00.000Z","2023-12-01T09:00:00.000Z","14.8"
"2023-12-01T09:00:00.000Z","2023-12-01T09:15:00.000Z","20.2"
"2023-12-01T09:15:00.000Z","2023-12-01T09:30:00.000Z","39.8"
"2023-12-01T09:30:00.000Z","2023-12-01T09:45:00.000Z","39.5"
"2023-12-01T09:45:00.000Z","2023-12-01T10:00:00.000Z","38.9"
"2023-12-01T10:00:00.000Z","2023-12-01T10:15:00.000Z","38"
"2023-12-01T10:15:00.000Z","2023-12-01T10:30:00.000Z","38.7"
"2023-12-01T10:30:00.000Z","2023-12-01T10:45:00.000Z","38"
"2023-12-01T10:45:00.000Z","2023-12-01T11:00:00.000Z","36.7"
"2023-12-01T11:00:00.000Z","2023-12-01T11:15:00.000Z","34.9"
"2023-12-01T11:15:00.000Z","2023-12-01T11:30:00.000Z","31.2"
"2023-12-01T11:30:00.000Z","2023-12-01T11:45:00.000Z","29.7"
"2023-12-01T11:45:00.000Z","2023-12-01T12:00:00.000Z","27.4"
"2023-12-01T12:00:00.000Z","2023-12-01T12:15:00.000Z","21.5"
"2023-12-01T12:15:00.000Z","2023-12-01T12:30:00.000Z","4.7"
"2023-12-01T12:30:00.000Z","2023-12-01T12:45:00.000Z","4.5"
"2023-12-01T12:45:00.000Z","2023-12-01T13:00:00.000Z","4.1"
"2023-12-01T13:00:00.000Z","2023-12-01T13:15:00.000Z","3.1"
"2023-12-01T13:15:00.000Z","2023-12-01T13:30:00.000Z","0"
"2023-12-01T13:30:00.000Z","2023-12-01T13:45:00.000Z","0"
"2023-12-01T13:45:00.000Z","2023-12-01T14:00:00.000Z","0"
"2023-12-01T14:00:00.000Z","2023-12-01T14:15:00.000Z","0"
"2023-12-01T14:15:00.000Z","2023-12-01T14:30:00.000Z","0"
