Start time UTC,End time UTC,Total generation
2023-12-01T00:00:00.000Z,2023-12-01T00:15:00.000Z,3483.92
2023-12-01T00:15:00.000Z,2023-12-01T00:30:00.000Z,3401.02
2023-12-01T00:30:00.000Z,2023-12-01T00:45:00.000Z,3316.2
2023-12-01T00:45:00.000Z,2023-12-01T01:00:00.000Z,3275.78
2023-12-01T01:00:00.000Z,2023-12-01T01:15:00.000Z,3266.78
2023-12-01T01:15:00.000Z,2023-12-01T01:30:00.000Z,3216.2200000000003
2023-12-01T01:30:00.000Z,2023-12-01T01:45:00.000Z,3235.12
2023-12-01T01:45:00.000Z,2023-12-01T02:00:00.000Z,3217.98
2023-12-01T02:00:00.000Z,2023-12-01T02:15:00.000Z,3180.62
2023-12-01T02:15:00.000Z,2023-12-01T02:30:00.000Z,3169.44
2023-12-01T02:30:00.000Z,2023-12-01T02:45:00.000Z,3222.92
2023-12-01T02:45:00.000Z,2023-12-01T03:00:00.000Z,3254.58
2023-12-01T03:00:00.000Z,2023-12-01T03:15:00.000Z,3244.2200000000003
2023-12-01T03:15:00.000Z,2023-12-01T03:30:00.000Z,3224.5
2023-12-01T03:30:00.000Z,2023-12-01T03:45:00.000Z,3278.56
2023-12-01T03:45:00.000Z,2023-12-01T04:00:00.000Z,3218.2
2023-12-01T04:00:00.000Z,2023-12-01T04:15:00.000Z,3248.12
2023-12-01T04:15:00.000Z,2023-12-01T04:30:00.000Z,3286.1
2023-12-01T04:30:00.000Z,2023-12-01T04:45:00.000Z,3308.7
2023-12-01T04:45:00.000Z,2023-12-01T05:00:00.000Z,3378.179998
2023-12-01T05:00:00.000Z,2023-12-01T05:15:00.000Z,3490.62
2023-12-01T05:15:00.000Z,2023-12-01T05:30:00.000Z,3625.86
2023-12-01T05:30:00.000Z,2023-12-01T05:45:00.000Z,3659.1
2023-12-01T05:45:00.000Z,2023-12-01T06:00:00.000Z,3767.36
2023-12-01T06:00:00.000Z,2023-12-01T06:15:00.000Z,3654.42
2023-12-01T06:15:00.000Z,2023-12-01T06:30:00.000Z,3624.7799999999997
2023-12-01T06:30:00.000Z,2023-12-01T06:45:00.000Z,3587.18
2023-12-01T06:45:00.000Z,2023-12-01T07:00:00.000Z,3527.859998
2023-12-01T07:00:00.000Z,2023-12-01T07:15:00.000Z,3587.2799999999997
2023-12-01T07:15:00.000Z,2023-12-01T07:30:00.000Z,3611.16
2023-12-01T07:30:00.000Z,2023-12-01T07:45:00.000Z,3649.24
2023-12-01T07:45:00.000Z,2023-12-01T08:00:00.000Z,3698.5
2023-12-01T08:00:00.000Z,2023-12-01T08:15:00.000Z,3758.2
2023-12-01T08:15:00.000Z,2023-12-01T08:30:00.000Z,3661.26
2023-12-01T08:30:00.000Z,2023-12-01T08:45:00.000Z,3704.04
2023-12-01T08:45:00.000Z,2023-12-01T09:00:00.000Z,3726.6400000000003
2023-12-01T09:00:00.000Z,2023-12-01T09:15:00.000Z,3750.5199979999998
2023-12-01T09:15:00.000Z,2023-12-01T09:30:00.000Z,3716.819998000001
2023-12-01T09:30:00.000Z,2023-12-01T09:45:00.000Z,3647.399996
2023-12-01T09:45:00.000Z,2023-12-01T10:00:00.000Z,3582.159996
2023-12-01T10:00:00.000Z,2023-12-01T10:15:00.000Z,3509.099998
2023-12-01T10:15:00.000Z,2023-12-01T10:30:00.000Z,3412.5199999999995
2023-12-01T10:30:00.000Z,2023-12-01T10:45:00.000Z,3404.2599999999998
2023-12-01T10:45:00.000Z,2023-12-01T11:00:00.000Z,3428.2200000000003
2023-12-01T11:00:00.000Z,2023-12-01T11:15:00.000Z,3393.62
2023-12-01T11:15:00.000Z,2023-12-01T11:30:00.000Z,3339.2400000000002
2023-12-01T11:30:00.000Z,2023-12-01T11:45:00.000Z,3311.26
2023-12-01T11:45:00.000Z,2023-12-01T12:00:00.000Z,3230.4
2023-12-01T12:00:00.000Z,2023-12-01T12:15:00.000Z,3197.98
2023-12-01T12:15:00.000Z,2023-12-01T12:30:00.000Z,3236.8
2023-12-01T12:30:00.000Z,2023-12-01T12:45:00.000Z,3188.2400000000002
2023-12-01T12:45:00.000Z,2023-12-01T13:00:00.000Z,3152.88
2023-12-01T13:00:00.000Z,2023-12-01T13:15:00.000Z,3184.12
2023-12-01T13:15:00.000Z,2023-12-01T13:30:00.000Z,3222.84
2023-12-01T13:30:00.000Z,2023-12-01T13:45:00.000Z,3313.919998
2023-12-01T13:45:00.000Z,2023-12-01T14:00:00.000Z,3474.8399940000004
2023-12-01T14:00:00.000Z,2023-12-01T14:15:00.000Z,3437.3199959999997
2023-12-01T14:15:00.000Z,2023-12-01T14:30:00.000Z,3485.899998
2023-12-01T14:30:00.000Z,2023-12-01T14:45:00.000Z,3528.279994
2023-12-01T14:45:00.000Z,2023-12-01T15:00:00.000Z,3546.599998
2023-12-01T15:00:00.000Z,2023-12-01T15:15:00.000Z,3577.1400000000003
2023-12-01T15:15:00.000Z,2023-12-01T15:30:00.000Z,3570.819994
2023-12-01T15:30:00.000Z,2023-12-01T15:45:00.000Z,3571.4800000000005
2023-12-01T15:45:00.000Z,2023-12-01T16:00:00.000Z,3561.0599979999997
2023-12-01T16:00:00.000Z,2023-12-01T16:15:00.000Z,3602.579996
2023-12-01T16:15:00.000Z,2023-12-01T16:30:00.000Z,3611.88
2023-12-01T16:30:00.000Z,2023-12-01T16:45:00.000Z,3594.8199980000004
2023-12-01T16:45:00.000Z,2023-12-01T17:00:00.000Z,3645.2399960000002
2023-12-01T17:00:00.000Z,2023-12-01T17:15:00.000Z,3669.379994
2023-12-01T17:15:00.000Z,2023-12-01T17:30:00.000Z,3704.759998
2023-12-01T17:30:00.000Z,2023-12-01T17:45:00.000Z,3705.5799960000004
2023-12-01T17:45:00.000Z,2023-12-01T18:00:00.000Z,3688.219992
2023-12-01T18:00:00.000Z,2023-12-01T18:15:00.000Z,3655.659994
2023-12-01T18:15:00.000Z,2023-12-01T18:30:00.000Z,3564.939996
2023-12-01T18:30:00.000Z,2023-12-01T18:45:00.000Z,3470.359998
2023-12-01T18:45:00.000Z,2023-12-01T19:00:00.000Z,3351.56
