"Start time UTC","End time UTC","Wind power generation - 15 min data"
"2023-12-01T00:00:00.000Z","2023-12-01T00:15:00.000Z","1955"
"2023-12-01T00:15:00.000Z","2023-12-01T00:30:00.000Z","1922"
"2023-12-01T00:30:00.000Z","2023-12-01T00:45:00.000Z","1871"
"2023-12-01T00:45:00.000Z","2023-12-01T01:00:00.000Z","1844"
"2023-12-01T01:00:00.000Z","2023-12-01T01:15:00.000Z","1853"
"2023-12-01T01:15:00.000Z","2023-12-01T01:30:00.000Z","1823"
"2023-12-01T01:30:00.000Z","2023-12-01T01:45:00.000Z","1828"
"2023-12-01T01:45:00.000Z","2023-12-01T02:00:00.000Z","1819"
"2023-12-01T02:00:00.000Z","2023-12-01T02:15:00.000Z","1786"
"2023-12-01T02:15:00.000Z","2023-12-01T02:30:00.000Z","1808"
"2023-12-01T02:30:00.000Z","2023-12-01T02:45:00.000Z","1877"
"2023-12-01T02:45:00.000Z","2023-12-01T03:00:00.000Z","1913"
"2023-12-01T03:00:00.000Z","2023-12-01T03:15:00.000Z","1935"
"2023-12-01T03:15:00.000Z","2023-12-01T03:30:00.000Z","1973"
"2023-12-01T03:30:00.000Z","2023-12-01T03:45:00.000Z","2046"
"2023-12-01T03:45:00.000Z","2023-12-01T04:00:00.000Z","2063"
"2023-12-01T04:00:00.000Z","2023-12-01T04:15:00.000Z","2065"
"2023-12-01T04:15:00.000Z","2023-12-01T04:30:00.000Z","2088"
"2023-12-01T04:30:00.000Z","2023-12-01T04:45:00.000Z","2104"
"2023-12-01T04:45:00.000Z","2023-12-01T05:00:00.000Z","2152"
"2023-12-01T05:00:00.000Z","2023-12-01T05:15:00.000Z","2196"
"2023-12-01T05:15:00.000Z","2023-12-01T05:30:00.000Z","2232"
"2023-12-01T05:30:00.000Z","2023-12-01T05:45:00.000Z","2203"
"2023-12-01T05:45:00.000Z","2023-12-01T06:00:00.000Z","2228"
"2023-12-01T06:00:00.000Z","2023-12-01T06:15:00.000Z","2197"
"2023-12-01T06:15:00.000Z","2023-12-01T06:30:00.000Z","2145"
"2023-12-01T06:30:00.000Z","2023-12-01T06:45:00.000Z","2068"
"2023-12-01T06:45:00.000Z","2023-12-01T07:00:00.000Z","1983"
"2023-12-01T07:00:00.000Z","2023-12-01T07:15:00.000Z","1928"
"2023-12-01T07:15:00.000Z","2023-12-01T07:30:00.000Z","1876"
"2023-12-01T07:30:00.000Z","2023-12-01T07:45:00.000Z","1872"
"2023-12-01T07:45:00.000Z","2023-12-01T08:00:00.000Z","1841"
"2023-12-01T08:00:00.000Z","2023-12-01T08:15:00.000Z","1820"
"2023-12-01T08:15:00.000Z","2023-12-01T08:30:00.000Z","1767"
"2023-12-01T08:30:00.000Z","2023-12-01T08:45:00.000Z","1749"
"2023-12-01T08:45:00.000Z","2023-12-01T09:00:00.000Z","1704"
"2023-12-01T09:00:00.000Z","2023-12-01T09:15:00.000Z","1658"
"2023-12-01T09:15:00.000Z","2023-12-01T09:30:00.000Z","1579"
"2023-12-01T09:30:00.000Z","2023-12-01T09:45:00.000Z","1515"
"2023-12-01T09:45:00.000Z","2023-12-01T10:00:00.000Z","1476"
"2023-12-01T10:00:00.000Z","2023-12-01T10:15:00.000Z","1439"
"2023-12-01T10:15:00.000Z","2023-12-01T10:30:00.000Z","1373"
"2023-12-01T10:30:00.000Z","2023-12-01T10:45:00.000Z","1372"
"2023-12-01T10:45:00.000Z","2023-12-01T11:00:00.000Z","1379"
"2023-12-01T11:00:00.000Z","2023-12-01T11:15:00.000Z","1353"
"2023-12-01T11:15:00.000Z","2023-12-01T11:30:00.000Z","1311"
"2023-12-01T11:30:00.000Z","2023-12-01T11:45:00.000Z","1282"
"2023-12-01T11:45:00.000Z","2023-12-01T12:00:00.000Z","1199"
"2023-12-01T12:00:00.000Z","2023-12-01T12:15:00.000Z","1196"
"2023-12-01T12:15:00.000Z","2023-12-01T12:30:00.000Z","1209"
"2023-12-01T12:30:00.000Z","2023-12-01T12:45:00.000Z","1179"
"2023-12-01T12:45:00.000Z","2023-12-01T13:00:00.000Z","1154"
"2023-12-01T13:00:00.000Z","2023-12-01T13:15:00.000Z","1170"
"2023-12-01T13:15:00.000Z","2023-12-01T13:30:00.000Z","1208"
"2023-12-01T13:30:00.000Z","2023-12-01T13:45:00.000Z","1259"
"2023-12-01T13:45:00.000Z","2023-12-01T14:00:00.000Z","1320"
"2023-12-01T14:00:00.000Z","2023-12-01T14:15:00.000Z","1298"
"2023-12-01T14:15:00.000Z","2023-12-01T14:30:00.000Z","1312"
"2023-12-01T14:30:00.000Z","2023-12-01T14:45:00.000Z","1339"
"2023-12-01T14:45:00.000Z","2023-12-01T15:00:00.000Z","1347"
"2023-12-01T15:00:00.000Z","2023-12-01T15:15:00.000Z","1375"
"2023-12-01T15:15:00.000Z","2023-12-01T15:30:00.000Z","1377"
"2023-12-01T15:30:00.000Z","2023-12-01T15:45:00.000Z","1367"
"2023-12-01T15:45:00.000Z","2023-12-01T16:00:00.000Z","1341"
"2023-12-01T16:00:00.000Z","2023-12-01T16:15:00.000Z","1367"
"2023-12-01T16:15:00.000Z","2023-12-01T16:30:00.000Z","1385"
"2023-12-01T16:30:00.000Z","2023-12-01T16:45:00.000Z","1393"
"2023-12-01T16:45:00.000Z","2023-12-01T17:00:00.000Z","1443"
"2023-12-01T17:00:00.000Z","2023-12-01T17:15:00.000Z","1470"
"2023-12-01T17:15:00.000Z","2023-12-01T17:30:00.000Z","1514"
"2023-12-01T17:30:00.000Z","2023-12-01T17:45:00.000Z","1514"
"2023-12-01T17:45:00.000Z","2023-12-01T18:00:00.000Z","1483"
"2023-12-01T18:00:00.000Z","2023-12-01T18:15:00.000Z","1467"
"2023-12-01T18:15:00.000Z","2023-12-01T18:30:00.000Z","1446"
"2023-12-01T18:30:00.000Z","2023-12-01T18:45:00.000Z","1411"
"2023-12-01T18:45:00.000Z","2023-12-01T19:00:00.000Z","1337"
"2023-12-01T19:00:00.000Z","2023-12-01T19:15:00.000Z","1318"
"2023-12-01T19:15:00.000Z","2023-12-01T19:30:00.000Z","1300"
"2023-12-01T19:30:00.000Z","2023-12-01T19:45:00.000Z","1310"
"2023-12-01T19:45:00.000Z","2023-12-01T20:00:00.000Z","1305"
"2023-12-01T20:00:00.000Z","2023-12-01T20:15:00.000Z","1281"
"2023-12-01T20:15:00.000Z","2023-12-01T20:30:00.000Z","1287"
"2023-12-01T20:30:00.000Z","2023-12-01T20:45:00.000Z","1298"
"2023-12-01T20:45:00.000Z","2023-12-01T21:00:00.000Z","1299"
"2023-12-01T21:00:00.000Z","2023-12-01T21:15:00.000Z","1273"
"2023-12-01T21:15:00.000Z","2023-12-01T21:30:00.000Z","1280"
"2023-12-01T21:30:00.000Z","2023-12-01T21:45:00.000Z","1280"
"2023-12-01T21:45:00.000Z","2023-12-01T22:00:00.000Z","1325"
"2023-12-01T22:00:00.000Z","2023-12-01T22:15:00.000Z","1369"
"2023-12-01T22:15:00.000Z","2023-12-01T22:30:00.000Z","1356"
"2023-12-01T22:30:00.000Z","2023-12-01T22:45:00.000Z","1398"
"2023-12-01T22:45:00.000Z","2023-12-01T23:00:00.000Z","1444"
"2023-12-01T23:00:00.000Z","2023-12-01T23:15:00.000Z","1510"
"2023-12-01T23:15:00.000Z","2023-12-01T23:30:00.000Z","1562"
"2023-12-01T23:30:00.000Z","2023-12-01T23:45:00.000Z","1620"
"2023-12-01T23:45:00.000Z","2023-12-02T00:00:00.000Z","1627"
"2023-12-02T00:00:00.000Z","2023-12-02T00:15:00.000Z","1605"
"2023-12-02T00:15:00.000Z","2023-12-02T00:30:00.000Z","1565"
"2023-12-02T00:30:00.000Z","2023-12-02T00:45:00.000Z","1502"
"2023-12-02T00:45:00.000Z","2023-12-02T01:00:00.000Z","1468"
"2023-12-02T01:00:00.000Z","2023-12-02T01:15:00.000Z","1453"
"2023-12-02T01:15:00.000Z","2023-12-02T01:30:00.000Z","1474"
"2023-12-02T01:30:00.000Z","2023-12-02T01:45:00.000Z","1447"
"2023-12-02T01:45:00.000Z","2023-12-02T02:00:00.000Z","1430"
"2023-12-02T02:00:00.000Z","2023-12-02T02:15:00.000Z","1414"
"2023-12-02T02:15:00.000Z","2023-12-02T02:30:00.000Z","1447"
"2023-12-02T02:30:00.000Z","2023-12-02T02:45:00.000Z","1424"
"2023-12-02T02:45:00.000Z","2023-12-02T03:00:00.000Z","1440"
"2023-12-02T03:00:00.000Z","2023-12-02T03:15:00.000Z","1448"
"2023-12-02T03:15:00.000Z","2023-12-02T03:30:00.000Z","1448"
"2023-12-02T03:30:00.000Z","2023-12-02T03:45:00.000Z","1440"
"2023-12-02T03:45:00.000Z","2023-12-02T04:00:00.000Z","1389"
"2023-12-02T04:00:00.000Z","2023-12-02T04:15:00.000Z","1350"
"2023-12-02T04:15:00.000Z","2023-12-02T04:30:00.000Z","1327"
"2023-12-02T04:30:00.000Z","2023-12-02T04:45:00.000Z","1364"
"2023-12-02T04:45:00.000Z","2023-12-02T05:00:00.000Z","1400"
"2023-12-02T05:00:00.000Z","2023-12-02T05:15:00.000Z","1402"
"2023-12-02T05:15:00.000Z","2023-12-02T05:30:00.000Z","1400"
"2023-12-02T05:30:00.000Z","2023-12-02T05:45:00.000Z","1401"
"2023-12-02T05:45:00.000Z","2023-12-02T06:00:00.000Z","1371"
"2023-12-02T06:00:00.000Z","2023-12-02T06:15:00.000Z","1346"
"2023-12-02T06:15:00.000Z","2023-12-02T06:30:00.000Z","1285"
"2023-12-02T06:30:00.000Z","2023-12-02T06:45:00.000Z","1253"
"2023-12-02T06:45:00.000Z","2023-12-02T07:00:00.000Z","1223"
"2023-12-02T07:00:00.000Z","2023-12-02T07:15:00.000Z","1198"
"2023-12-02T07:15:00.000Z","2023-12-02T07:30:00.000Z","1191"
"2023-12-02T07:30:00.000Z","2023-12-02T07:45:00.000Z","1193"
"2023-12-02T07:45:00.000Z","2023-12-02T08:00:00.000Z","1179"
"2023-12-02T08:00:00.000Z","2023-12-02T08:15:00.000Z","1190"
"2023-12-02T08:15:00.000Z","2023-12-02T08:30:00.000Z","1156"
"2023-12-02T08:30:00.000Z","2023-12-02T08:45:00.000Z","1125"
"2023-12-02T08:45:00.000Z","2023-12-02T09:00:00.000Z","1091"
"2023-12-02T09:00:00.000Z","2023-12-02T09:15:00.000Z","1078"
"2023-12-02T09:15:00.000Z","2023-12-02T09:30:00.000Z","1038"
"2023-12-02T09:30:00.000Z","2023-12-02T09:45:00.000Z","1016"
"2023-12-02T09:45:00.000Z","2023-12-02T10:00:00.000Z","1011"
"2023-12-02T10:00:00.000Z","2023-12-02T10:15:00.000Z","968"
"2023-12-02T10:15:00.000Z","2023-12-02T10:30:00.000Z","929"
"2023-12-02T10:30:00.000Z","2023-12-02T10:45:00.000Z","844"
"2023-12-02T10:45:00.000Z","2023-12-02T11:00:00.000Z","800"
"2023-12-02T11:00:00.000Z","2023-12-02T11:15:00.000Z","776"
"2023-12-02T11:15:00.000Z","2023-12-02T11:30:00.000Z","749"
"2023-12-02T11:30:00.000Z","2023-12-02T11:45:00.000Z","710"
"2023-12-02T11:45:00.000Z","2023-12-02T12:00:00.000Z","707"
"2023-12-02T12:00:00.000Z","2023-12-02T12:15:00.000Z","716"
"2023-12-02T12:15:00.000Z","2023-12-02T12:30:00.000Z","736"
"2023-12-02T12:30:00.000Z","2023-12-02T12:45:00.000Z","784"
"2023-12-02T12:45:00.000Z","2023-12-02T13:00:00.000Z","789"
"2023-12-02T13:00:00.000Z","2023-12-02T13:15:00.000Z","809"
"2023-12-02T13:15:00.000Z","2023-12-02T13:30:00.000Z","778"
"2023-12-02T13:30:00.000Z","2023-12-02T13:45:00.000Z","822"
"2023-12-02T13:45:00.000Z","2023-12-02T14:00:00.000Z","842"
"2023-12-02T14:00:00.000Z","2023-12-02T14:15:00.000Z","830"
"2023-12-02T14:15:00.000Z","2023-12-02T14:30:00.000Z","831"
"2023-12-02T14:30:00.000Z","2023-12-02T14:45:00.000Z","854"
"2023-12-02T14:45:00.000Z","2023-12-02T15:00:00.000Z","895"
"2023-12-02T15:00:00.000Z","2023-12-02T15:15:00.000Z","891"
"2023-12-02T15:15:00.000Z","2023-12-02T15:30:00.000Z","884"
"2023-12-02T15:30:00.000Z","2023-12-02T15:45:00.000Z","902"
"2023-12-02T15:45:00.000Z","2023-12-02T16:00:00.000Z","898"
"2023-12-02T16:00:00.000Z","2023-12-02T16:15:00.000Z","879"
"2023-12-02T16:15:00.000Z","2023-12-02T16:30:00.000Z","913"
"2023-12-02T16:30:00.000Z","2023-12-02T16:45:00.000Z","921"
"2023-12-02T16:45:00.000Z","2023-12-02T17:00:00.000Z","949"
"2023-12-02T17:00:00.000Z","2023-12-02T17:15:00.000Z","946"
"2023-12-02T17:15:00.000Z","2023-12-02T17:30:00.000Z","1023"
"2023-12-02T17:30:00.000Z","2023-12-02T17:45:00.000Z","1049"
"2023-12-02T17:45:00.000Z","2023-12-02T18:00:00.000Z","1046"
"2023-12-02T18:00:00.000Z","2023-12-02T18:15:00.000Z","1059"
"2023-12-02T18:15:00.000Z","2023-12-02T18:30:00.000Z","1006"
"2023-12-02T18:30:00.000Z","2023-12-02T18:45:00.000Z","1002"
"2023-12-02T18:45:00.000Z","2023-12-02T19:00:00.000Z","1072"
"2023-12-02T19:00:00.000Z","2023-12-02T19:15:00.000Z","1058"
"2023-12-02T19:15:00.000Z","2023-12-02T19:30:00.000Z","1025"
"2023-12-02T19:30:00.000Z","2023-12-02T19:45:00.000Z","1035"
"2023-12-02T19:45:00.000Z","2023-12-02T20:00:00.000Z","1084"
"2023-12-02T20:00:00.000Z","2023-12-02T20:15:00.000Z","1121"
"2023-12-02T20:15:00.000Z","2023-12-02T20:30:00.000Z","1152"
"2023-12-02T20:30:00.000Z","2023-12-02T20:45:00.000Z","1168"
"2023-12-02T20:45:00.000Z","2023-12-02T21:00:00.000Z","1171"
"2023-12-02T21:00:00.000Z","2023-12-02T21:15:00.000Z","1183"
"2023-12-02T21:15:00.000Z","2023-12-02T21:30:00.000Z","1254"
"2023-12-02T21:30:00.000Z","2023-12-02T21:45:00.000Z","1254"
"2023-12-02T21:45:00.000Z","2023-12-02T22:00:00.000Z","1275"
"2023-12-02T22:00:00.000Z","2023-12-02T22:15:00.000Z","1266"
"2023-12-02T22:15:00.000Z","2023-12-02T22:30:00.000Z","1294"
"2023-12-02T22:30:00.000Z","2023-12-02T22:45:00.000Z","1276"
"2023-12-02T22:45:00.000Z","2023-12-02T23:00:00.000Z","1338"
"2023-12-02T23:00:00.000Z","2023-12-02T23:15:00.000Z","1399"
"2023-12-02T23:15:00.000Z","2023-12-02T23:30:00.000Z","1419"
"2023-12-02T23:30:00.000Z","2023-12-02T23:45:00.000Z","1402"
"2023-12-02T23:45:00.000Z","2023-12-03T00:00:00.000Z","1396"
"2023-12-03T00:00:00.000Z","2023-12-03T00:15:00.000Z","1355"
"2023-12-03T00:15:00.000Z","2023-12-03T00:30:00.000Z","1340"
"2023-12-03T00:30:00.000Z","2023-12-03T00:45:00.000Z","1295"
"2023-12-03T00:45:00.000Z","2023-12-03T01:00:00.000Z","1253"
"2023-12-03T01:00:00.000Z","2023-12-03T01:15:00.000Z","1230"
"2023-12-03T01:15:00.000Z","2023-12-03T01:30:00.000Z","1199"
"2023-12-03T01:30:00.000Z","2023-12-03T01:45:00.000Z","1202"
"2023-12-03T01:45:00.000Z","2023-12-03T02:00:00.000Z","1201"
