"Start time UTC","End time UTC","Hydro power production - real time data"
"2023-12-01T00:01:00.000Z","2023-12-01T00:01:00.000Z","1522.3"
"2023-12-01T00:04:00.000Z","2023-12-01T00:04:00.000Z","1539.7"
"2023-12-01T00:07:00.000Z","2023-12-01T00:07:00.000Z","1538.3"
"2023-12-01T00:10:00.000Z","2023-12-01T00:10:00.000Z","1531.8"
"2023-12-01T00:13:00.000Z","2023-12-01T00:13:00.000Z","1512.5"
"2023-12-01T00:16:00.000Z","2023-12-01T00:16:00.000Z","1518.3"
"2023-12-01T00:19:00.000Z","2023-12-01T00:19:00.000Z","1478.5"
"2023-12-01T00:22:00.000Z","2023-12-01T00:22:00.000Z","1480.5"
"2023-12-01T00:25:00.000Z","2023-12-01T00:25:00.000Z","1464.3"
"2023-12-01T00:28:00.000Z","2023-12-01T00:28:00.000Z","1453.5"
"2023-12-01T00:31:00.000Z","2023-12-01T00:31:00.000Z","1450"
"2023-12-01T00:34:00.000Z","2023-12-01T00:34:00.000Z","1446"
"2023-12-01T00:37:00.000Z","2023-12-01T00:37:00.000Z","1446.5"
"2023-12-01T00:40:00.000Z","2023-12-01T00:40:00.000Z","1445.8"
"2023-12-01T00:43:00.000Z","2023-12-01T00:43:00.000Z","1437.7"
"2023-12-01T00:46:00.000Z","2023-12-01T00:46:00.000Z","1433.7"
"2023-12-01T00:49:00.000Z","2023-12-01T00:49:00.000Z","1423.7"
"2023-12-01T00:52:00.000Z","2023-12-01T00:52:00.000Z","1420.7"
"2023-12-01T00:55:00.000Z","2023-12-01T00:55:00.000Z","1445.5"
"2023-12-01T00:58:00.000Z","2023-12-01T00:58:00.000Z","1435.3"
"2023-12-01T01:01:00.000Z","2023-12-01T01:01:00.000Z","1425.5"
"2023-12-01T01:04:00.000Z","2023-12-01T01:04:00.000Z","1426.7"
"2023-12-01T01:07:00.000Z","2023-12-01T01:07:00.000Z","1414.4"
"2023-12-01T01:10:00.000Z","2023-12-01T01:10:00.000Z","1395.3"
"2023-12-01T01:13:00.000Z","2023-12-01T01:13:00.000Z","1407"
"2023-12-01T01:16:00.000Z","2023-12-01T01:16:00.000Z","1402.2"
"2023-12-01T01:19:00.000Z","2023-12-01T01:19:00.000Z","1397.3"
"2023-12-01T01:22:00.000Z","2023-12-01T01:22:00.000Z","1397.5"
"2023-12-01T01:25:00.000Z","2023-12-01T01:25:00.000Z","1392.3"
"2023-12-01T01:28:00.000Z","2023-12-01T01:28:00.000Z","1376.8"
"2023-12-01T01:31:00.000Z","2023-12-01T01:31:00.000Z","1392.3"
"2023-12-01T01:34:00.000Z","2023-12-01T01:34:00.000Z","1405"
"2023-12-01T01:37:00.000Z","2023-12-01T01:37:00.000Z","1413.7"
"2023-12-01T01:40:00.000Z","2023-12-01T01:40:00.000Z","1412.3"
"2023-12-01T01:43:00.000Z","2023-12-01T01:43:00.000Z","1412.3"
"2023-12-01T01:46:00.000Z","2023-12-01T01:46:00.000Z","1402.5"
"2023-12-01T01:49:00.000Z","2023-12-01T01:49:00.000Z","1408.8"
"2023-12-01T01:52:00.000Z","2023-12-01T01:52:00.000Z","1398.5"
"2023-12-01T01:55:00.000Z","2023-12-01T01:55:00.000Z","1394.3"
"2023-12-01T01:58:00.000Z","2023-12-01T01:58:00.000Z","1390.8"
